,id,reward,difficulty,duration,channel_email,channel_mobile,channel_social,channel_web,offer_type_bogo,offer_type_discount,offer_type_informational
0,ae264e3637204a6fb9bb56bc8210ddfd,10,10,168,1,1,1,0,1,0,0
1,4d5c57ea9a6940dd891ad53e9dbe8da0,10,10,120,1,1,1,1,1,0,0
2,3f207df678b143eea3cee63160fa8bed,0,0,96,1,1,0,1,0,0,1
3,9b98b8c7a33c4b65b9aebfe6a799e6d9,5,5,168,1,1,0,1,1,0,0
4,0b1e1539f2cc45b7b9fa7c272da2e1d7,5,20,240,1,0,0,1,0,1,0
5,2298d6c36e964ae4a3e7e9706d1fb8c2,3,7,168,1,1,1,1,0,1,0
6,fafdcd668e3743c1bb461111dcafc2a4,2,10,240,1,1,1,1,0,1,0
7,5a8bc65990b245e5a138643cd4eb9837,0,0,72,1,1,1,0,0,0,1
8,f19421c1d4aa40978ebb69ca19b0e20d,5,5,120,1,1,1,1,1,0,0
9,2906b810c7d4411798c6938adc9daaa5,2,10,168,1,1,0,1,0,1,0
